head,subhead,shortname,description,date,playlist,created_at,updated_at,front_file_name,front_content_type,front_file_size,front_updated_at,image1_file_name,image1_content_type,image1_file_size,image1_updated_at,image2_file_name,image2_content_type,image2_file_size,image2_updated_at
"OPHÉLIE GAILLARD, violoncelle, avec l’orchestre du Festival sous la direction de Jonathan Haskell",Vendredi 31 août 20h.30 dans le parc du château de Tannay,Ophélie Gaillard,"Lauréate de plusieurs concours internationaux, cette virtuose franco-suisse est l’invitée des principaux festivals européens et se produit dans les salles les plus prestigieuses. « Diapason d’or » 2011, Ophélie Gaillard, dont le Times saluait « le doigté de magicienne » nous fera partager sa passion pour le violoncelle.",2012-08-31 20:30:00,"---
- Mozart, ouverture de Don Juan
- Dvorak, rondo op. 94
- Grieg, suite Holberg op. 40
- Schumann, concerto pour violoncelle et orchestre op. 129
",2013-12-12 20:48:56.711935,2014-03-17 14:16:00.411889,1OGaillard570.jpg,image/jpeg,98495,2013-12-12 20:48:55.608957,1OGaillard570.jpg,image/jpeg,98495,2013-12-12 20:48:56.125895,,,,
"KHATIA ET GVANSA BUNIATISHVILI, piano",Dimanche 2 septembre 17h. dans le parc du château de Tannay,Les soeurs Buniatishvili,"« Khatia Buniatishvili a tout pour plaire : un passé d’enfant prodige, des récompenses multiples, un port de reine, un sourire gourmand ». Celle que beaucoup considèrent comme une « nouvelle Martha Argerich » est sans doute l’un des plus grand talents qu’on puisse entendre aujourd’hui. Elle se produit ici avec sa soeur Gvantsa Buniatishvili, elle-même pianiste de renom.",2012-09-02 17:00:00,"---
- Schubert, fantaisie pour piano à 4 mains en fa min., D 940
- Rachmaninov, suite no. 2 pour deux pianos, op.17
- Gershwin, fantaisie pour deux pianos « Porgy and Bess »
- Ravel, valse pour deux pianos
",2013-12-12 21:19:20.641185,2014-03-17 14:17:23.887671,1Khatia260.jpg,image/jpeg,18023,2013-12-12 21:19:19.758694,1Khatia539.jpg,image/jpeg,38645,2013-12-12 21:19:20.049408,1Gvantsa288.jpg,image/jpeg,14675,2013-12-12 21:19:20.360007
"",L'abonnement 2013 permet un libre accès à tous les concerts de l'édition de cette année,Abonnement,Choisissez l'option abonnement aux Variations Musicales de Tannay pour avoir accès à l'entier de la programmation à tarif avantageux. Vous pouvez l'acheter à la billetterie.,2013-09-01 16:00:10,"---
- Maurice Ravel (1875-1937) Sonatine (Modéré - Mouvement de menuet - Animé)
- Franz Liszt (1811-1886) Rhapsodie hongroise n°6
- Wolfgang-Amadeus Mozart (1756-1791) Concerto pour piano et orchestre n°21, K.467
  (Allegro - Andante - Allegro vivace assai)
- Entracte
- Samuel Barber (1910-1981) Adagio pour cordes
- Dmitri Chostakovitch (1906-1975) Concerto pour piano, trompette et orchestre à cordes
  op.35 (Allegretoo - Lento - Moderato - Allegro con brio)
",2013-05-06 16:34:38,2014-04-10 16:28:54.977552,,,,,,,,,,,,
"ALEXANDRE THARAUD, récital","Vendredi 26 août 2011, 20h30 au château de Tannay",Alexandre Tharaud,"Né à Paris en 1968, Alexandre Tharaud entre au conservatoire à l’âge de six ans. Dès 1983, il suit les cours de Germaine Mounier et obtient trois ans plus tard son premier prix de piano. Dès lors, il ira de succès en succès autant en concert qu’en enregistrant régulièrement des CD qui font à chaque fois événement.",2011-08-26 20:30:00,"---
- 'François Couperin (1668-1733) 5 pièces: Passacaille, Les Ombres errantes, La Triomphante,
  Le Carillon de Cythère, Tic Toc Choc ou Les Maillotins'
- 'Ludwig van Beethoven (1770-1827): Sonate n°30 en mi majeur, op.109 (Vivace ma non
  troppo - Adagio expressivo - Prestissimo - Andante, molto cantabile con expressivo
  et Variations I à VI)'
- Entracte
- Claude Debussy (1826-1918) Préludes, livre I
",2014-04-10 15:58:10.619399,2014-04-10 18:37:43.727562,tharaud.jpg,image/jpeg,45828,2014-04-10 15:58:09.232282,tharaud2.jpg,image/jpeg,167249,2014-04-10 15:58:09.92744,,,,
"L'Ensemble Intermezzo, sous la direction d'Ahmed Hamdy","Samedi 31 août, à 16h.30 au château de Tannay.",L'Ensemble Intermezzo,"Concert à l’intention des enfants avec des musiciens de l’Orchestre de chambre de Genève et de l’ensemble da Capo, trois solistes, un chœur d’enfants et avec le concours de Casilda Regueiro, récitante.",2013-08-31 15:30:00,"---
- 'Mozart : Bastien et Bastienne : opéra en un acte'
",2013-05-06 16:34:38,2013-12-09 06:37:21.459601,,,,,,,,,,,,
"L'ENSEMBLE INTERMEZZO, sous la direction d’AHMED HAMDY, avec Joan Mompart, récitant",Samedi 1er septembre 17h. dans le parc du château de Tannay,L'Ensemble Intermezzo,"Etant destiné aux enfants, petits et grands, ce concert est gratuit. Dès 16h., il sera précédé d'un goûter offert aux enfants par la banque Mirabaud.",2012-09-01 17:00:00,"---
- Poulenc, l’histoire de Babar le petit éléphant
",2013-12-12 20:57:47.713065,2013-12-12 21:01:48.22386,,,,,,,,,,,,
NEMANJA RADULOVIC violon et LAURE FAVRE-KAHN piano avec la CAMERATA MENUHIN,Samedi 1 septembre 20h.30 dans le parc du château de Tannay,Nemanja Radulovic et Laure Favre-Kahn,"Révélation internationale de l’année 2005 et nominé en 2012 aux « Victoires de la Musique », Nemanja Radulovic s’est produit avec les plus grands orchestres en Europe, en Asie et en Amérique. « Au-delà de ses prouesses techniques, ce brillant interprète doit sa renommée à sa capacité d’entrer en communion avec son public : pas d’artifice, mais une attitude profondément généreuse ».",2012-09-01 20:30:00,"---
- Vivaldi, concerto pour 4 violons en si min.
- Holst, Suite St. Paul no. 1 pour orchestre à cordes
- Britten, simple symphony op. 4 pour orchestre à cordes
- Mendelssohn, double concerto en ré min. pour violon, piano et orchestre
",2013-12-12 21:06:23.722447,2013-12-12 21:08:53.929666,1Nemanja260.jpg,image/jpeg,57068,2013-12-12 21:06:22.572902,1Nemanja570.jpg,image/jpeg,186726,2013-12-12 21:06:22.904482,1Laure570.jpg,image/jpeg,81594,2013-12-12 21:06:23.338561
"ARTHUS PIANO TRIO avec Simone Flükiger violon, HunJu Sohnn piano et Arthur Guignard violoncelle","Dimanche 26 août, 17h. concert à la Fondation Engelberts",ArtHus Piano Trio,"Après avoir obtenu un brillant diplôme d’enseignement et de concert à la Haute École de Musique de Genève, Simone Flükiger a poursuivi ses études musicales à Londres et Berlin. Elle est membre remplaçante de l’OSR ainsi que de l’Orchestre de la radio de Berlin avec lequel elle vient d’effectuer une tournée d’un mois au Japon et en Corée. Pianiste coréenne, HunJu Sohn s’est quant à elle produite en soliste et en musique de chambre dans de nombreux pays, en Europe, aux Etats-Unis et en Asie. Elle est régulièrement invitée au Festival de Verbier. Artur Guignard, violoncelliste, est pour sa part lauréat de nombreux prix internationaux.",2012-08-26 17:00:00,"--- []
",2013-12-12 20:39:58.820962,2014-03-17 13:41:08.451396,1Arthus260.jpg,image/jpeg,73438,2013-12-12 20:39:57.996828,1Arthus570.jpg,image/jpeg,241401,2013-12-12 20:39:58.379386,,,,
"Nicholas Angelich, piano, récital","Samedi 31 août, à 20h. au château de Tannay",Nicolas Angelich,"Né aux Etats Unis en 1970, Nicholas Angelich donne son premier concert à 7 ans et entre à 13 ans au Conservatoire National Supérieur de Paris où il étudie avec Aldo Ciccolini, et Michel Beroff. En 2003, il fait ses débuts avec le New York Philharmonic et Kurt Masur . On pourra ensuite l’entendre dans les plus grands festivals, notamment à Verbier ainsi qu’au Festival Martha Argerich de Lugano. Nicholas Angelich s’est produit ces dernières années avec les plus grands orchestres symphoniques, mais il est aussi passionné de musique de chambre, aux côtés, notamment, de Joshua Bell, Maxim Vengerov, Renaud et Gautier Capuçon. Il a été désigné cette année « meilleur soliste instrumental » aux « Victoires de la Musique Classique »",2013-08-31 19:00:00,"---
- 'Beethoven(1770-1827): Sonate op.10 n°1'
- 'Chopin (1810-1849): 2 Nocturnes op.55 n°1 et 2, 4 études op.25 n°1 et op.10 n°10
  - 11 - 12'
- Entracte
- 'Schumann(1810-1856): Kreisleriana op.16 (huit pièces)'
",2013-12-12 09:44:56.313361,2014-03-17 14:10:29.605352,7.jpg,image/jpeg,13648,2013-12-12 09:44:54.999354,7.jpg,image/jpeg,21825,2013-12-12 09:44:55.587387,,,,
"Marielle et Katia Labèque, piano","Dimanche 25 août, à 17h. au château de Tannay",Marielle et Katia Labèque,"Les Variations Musicales de Tannay » accueillent en ouverture du Festival 2013 les « deux sœurs pianistes les plus célèbres de la scène classique internationale ». Formées au conservatoire de Paris, elles ont remporté de nombreux prix et  l’impressionnante variété de leur répertoire les fait jouer aux quatre coins de la planète : New York, Berlin, Vienne, Londres...ainsi que dans les orchestres les plus prestigieux sous la direction des plus grands.",2013-08-26 17:00:00,"---
- 'Debussy : Nuages et fêtes'
- 'Ravel : Rapsody espagnole'
- 'Gershwin : trois préludes'
- 'Philip Glass : quatre mouvements pour deux pianos'
",2013-12-12 08:46:11.632249,2014-03-17 13:54:05.181094,artistes_2013_3_260.jpg,image/jpeg,54508,2013-12-12 08:46:09.206765,1.jpg,image/jpeg,208058,2013-12-12 08:46:10.296128,,,,
"Béatrice Berrut, piano, avec l’orchestre du festival composé de musiciens de l’Orchestre de la Suisse romande, sous la direction de Jonathan Haskell","Vendredi 30 août, à 20h. au château de Tannay",Béatrice Berrut,"Beatrice Berrut est née en 1985 dans le canton du Valais. Elle a déjà derrière elle une très belle carrière internationale. Et son dernier album consacré à l’intégrale des sonates de Schumann donne à entendre un souffle lyrique véritable et un grand soin apporté aux détails. Au début de cette année 2013, on a pu l’entendre au Victoria Hall de Genève, invitée par les Amis de l'OSR. Gidon Kremer la décrit comme «  une artiste à la sensibilité et à l'engagement impressionnants »",2013-08-30 19:00:00,"---
- 'Sibelius(1865-1957): Romance pour cordes  op.42'
- 'Mozart(1776-1791): Concerto no.27, en si bémol K 595 (Allegro - Larghetto - Allegro)'
- Entracte
- 'Fauré(1845-1924): Pelléas et Màlisande (Prélude -  Fileuse - Chanson de Mélisande
  - Sicilienne - La mort de Mélisande)'
- 'Schumann(1810-1856): Concerto pour piano en la mineur op.54 (Allegro affettuoso
  - Intermezzo : andantino grazioso - Allegro vivace)'
",2013-12-12 09:39:40.661577,2014-03-17 13:58:36.062054,3.jpg,image/jpeg,60341,2013-12-12 09:39:39.418933,3.jpg,image/jpeg,161921,2013-12-12 09:39:40.051228,,,,
"Edgar Moreau, violoncelle, avec l’Orchestre du Festival sous la direction de Jonathan Haskell",Dimanche 1er septembre à 17h. au château de Tannay,Edgar Moreau,"« Révélation Instrumentale 2013 » des Victoires de la Musique Classique, Edgar remporte à 17 ans le Deuxième Prix du XIVème Concours Tchaïkovski à Moscou en juillet 2011 sous la présidence de Valery Gergiev où il s’est vu décerner aussi le Prix de la meilleure œuvre contemporaine. Il est également lauréat du dernier Concours Rostropovitch en 2009 avec le Prix du Jeune Soliste.",2013-09-01 16:00:00,"---
- 'Elgar(1857-1834): Sérénade pour cordes en mi mineur op.20 (Allegro piacevole –
  Larghetto – Allegretto)'
- 'Haydn(1732 – 1809): Concerto n°1 en ut majeur Hob.VII b1 (Moderato – Adagio – Finale
  :  Allegro molto)'
- 'Tchaïkovsky (1840 – 1893): Andante cantabile en ré majeur op.11'
- Entracte
- 'Tchaïkovsky(1840 – 1893): Elégie de la Sérénade pour cordes (Larghetto elegiaco)'
- 'Holst(1874 – 1934): St. Paul’s Suite pour cordes'
- 'Mozart (1776 – 1791): Symphonie n°34 en do majeur K 238 ( Allegro vivace – Andante
  – Finale : allegro vivace)'
",2013-12-12 09:52:44.30434,2014-03-17 14:09:45.014606,5.jpg,image/jpeg,52436,2013-12-12 09:52:42.984454,5.jpg,image/jpeg,115121,2013-12-12 09:52:43.602759,,,,
"David Greilsammer, en récital, piano et piano préparé, avec le soutien de la Fondation Engelberts pour les arts et la culture","Mercredi 28 août, à 20h. au château de Tannay",David Greilsammer,"Né à Jérusalem, sacré « révélation » aux Victoires de la musique en 2008, David Greilsammer est reconnu comme l’un des artistes les plus audacieux et visionnaires de sa génération. En tant que pianiste, il s’est produit dans les plus grandes salles et a collaboré avec les plus grands orchestres.  Il propose à Tannay, et  en première suisse romande, une performance pianistique qui consiste à mettre en correspondance es sonates de Scarlatti et de Cage, passant d’un piano à l’autre, d’une sonate baroque à une sonate contemporaine et inversément.",2013-08-28 19:00:00,"---
- 'Scarlatti(1685-1757) et Cage(1912-1992): 15 sonates'
",2013-12-12 09:23:21.043021,2013-12-12 09:25:25.58607,2.jpg,image/jpeg,46949,2013-12-12 09:23:19.192512,2.jpg,image/jpeg,46949,2013-12-12 09:23:20.227967,,,,
MELODIE ZHAO sous la direction de Jonathan Haskell avec un groupe de musiciens de l'OSR,"Samedi 27 août 2011, 20h30 au château de Tannay",Melodie Zhao,"Pianiste suisse d’origine chinoise, Mélodie Zhao est née en 1994 en Gruyère, dans une famille de musiciens. Elle a commencé l’étude du piano à trois ans déjà. A neuf ans, elle entre au Conservatoire de Genève, puis quatre ans plus tard à la Haute Ecole de Musique de Genève, dans la classe de Pascal Devoyon.",2011-08-27 20:30:00,"---
- Maurice Ravel (1875-1937) Sonatine (Modéré - Mouvement de menuet - Animé)
- Franz Liszt (1811-1886) Rhapsodie hongroise n°6
- Wolfgang-Amadeus Mozart (1756-1791) Concerto pour piano et orchestre n°21, K.467
  (Allegro - Andante - Allegro vivace assai)
- Entracte
- Samuel Barber (1910-1981) Adagio pour cordes
- Dmitri Chostakovitch (1906-1975) Concerto pour piano, trompette et orchestre à cordes
  op.35 (Allegretoo - Lento - Moderato - Allegro con brio)
",2014-04-10 16:16:10.375174,2014-04-10 16:30:36.464414,FotosMittel2_melodie_zhao.jpg,image/jpeg,46674,2014-04-10 16:16:08.316407,FotosMittel3_melodie_zhao.jpg,image/jpeg,50809,2014-04-10 16:16:09.061399,,,,
ELIZABETH SOMBART avec l'Orchestre Solidaire Résonnance de Barcelone sous la direction de Diego Miguel-Urzanqui,"Dimanche 28 août 2011, 17h au château de Tannay",Elizabeth Sombart,"Née à Strasbourg, Elizabeth Sombart a commencé l’étude du piano à sept ans. Elle entre au Conservatoire de sa ville natale et se produit pour la première fois en public à l’âge de onze ans. Après avoir obtenu le Premier Prix National de piano et de musique de chambre à seize ans, elle décide de quitter la France pour perfectionner son art à Buenos Aires avec Bruno-Léonardo Gelber. Elle complète ensuite sa formation auprès de grand maîtres Peter Feuchtwanger à Londres et Sergiu Celibidache avec lequel elle poursuivra des études de phénoménologie musicale.",2011-08-28 17:00:00,"---
- Frédéric Chopin (1810-1849) Concerto en Fa mineur pour piano et orchestre, op.21
  n°2
- Frédéric Chopin (1810-1849) Andante spianato et Grande Polonaise brillante pour
  piano et orchestre, op.22 en mib majeur
- Entracte
- Wolfgang-Amadeus Mozart (1756-1791) Symphonie en Sol mineur, n°40 KV 550 (Molto
  allegro - Andante - Menuetto Allegretto - Allegro Assai)
",2014-04-10 16:35:45.145607,2014-04-10 16:44:57.752635,Elisabeth_Sombart_elizabeth_sombart_portrait.jpg,image/jpeg,61827,2014-04-10 16:35:43.05875,60497358_640.jpg,image/jpeg,13346,2014-04-10 16:35:44.198222,,,,
"Camille Thomas, violoncelle, et l'Orchestre du Festival, musiciens de l'OSR sous la direction de Jonathan Haskell","Samedi 22 août, à 20h.",Camille Thomas,"Nommée aux Victoires de la Musique dans la catégorie Révélation Soliste instrumentale de l’année 2014, la jeune violoncelliste franco-belge Camille Thomas est considérée comme une des musiciennes les plus prometteuses de sa génération. Elle vient de remporter le 1er Prix au Concours de l’Union européenne de radiotélévision (UER) et elle est nommée «NewTalent of the Year 2014». ",2015-08-22 20:00:00,"---
- Ludvig van Beethoven (1770-1827)
- Ouverture de Coriolan en ut mineur, op. 62
- Antonin Dvorak (1841-1904)
- Danse slave op. 46 n°8
- Camille Saint-Saëns (1835-1904)
- Concerto pour violoncelle n°1 en la mineur, op. 33
",2015-05-05 10:45:41.727821,2015-07-21 23:35:06.880428,_DSC7444.jpg,image/jpeg,22374,2015-05-05 10:45:40.737825,_DSC7444.jpg,image/jpeg,22374,2015-05-05 10:45:41.292441,,,,
